"id_docente";"nome";"titulo";"tipo";"issn_ou_sigla";"nome_local";"ano";"qualis";"natureza";"percentile_ou_h5";"autores";"doi"
33;Alexandre César Muniz de Oliveira;A Parallel RatSlam C++ Library Implementation;CAPITULO-DE-LIVRO-PUBLICADO;-;Communications in Computer and Information Science - Springer International Publishing;2019;SQ;;;"de Souza Muñoz, Mauro Enrique;MENEZES, MATHEUS CHAVES;DE FREITAS, EDISON PIGNATON;CHENG, SEN;DE ALMEIDA NETO, AREOLINO;Alexandre César Muniz de Oliveira;de Almeida Ribeiro, Paulo Rogério;";"10.1007/978-3-030-36636-0_13"
33;Alexandre César Muniz de Oliveira;Clustering Search with Estimation of Distribution;TRABALHO-EM-EVENTOS;CNMAC;CNMAC 2017  XXXVII Congresso Nacional de Matemática Aplicada e Computacional - ;2018;B4;NACIONAL;;"DO NASCIMENTO, MARCELO BRANCO;Alexandre César Muniz de Oliveira;";"10.5540/03.2018.006.01.0335"
33;Alexandre César Muniz de Oliveira;Aplicações de Computação Paralela em Jogos Digitais;TRABALHO-EM-EVENTOS;-;JIM 2018 - VII Jornada de Informática do Maranhão - JIM 2018 - VII Jornada de Informática do Maranhão;2018;SQ;LOCAL;;"Paulo Renato Conceição Mendes;Pedro Vinícius Almeida de Freitas;Francisco Ylderlan Chaves de Oliveira;Alexandre César Muniz de Oliveira;";""
33;Alexandre César Muniz de Oliveira;Meta-Learning for Recommending Metaheuristics for the MaxSAT Problem;TRABALHO-EM-EVENTOS;BRACIS;"2018 7th Brazilian Conference on Intelligent Systems (BRACIS) - 2018 7th Brazilian Conference on Intelligent Systems (BRACIS)";2018;A4;INTERNACIONAL;;"MIRANDA, ENRICO S.;FABRIS, FABIO;NASCIMENTO, CHRYSTIAN G. M.;FREITAS, ALEX A.;Alexandre César Muniz de Oliveira;";"10.1109/BRACIS.2018.00037"
33;Alexandre César Muniz de Oliveira;A Neuro-Inspired Approach to Solve a Simultaneous Location and Mapping Task Using Shared Information in Multiple Robots Systems;TRABALHO-EM-EVENTOS;-;"2018 15th International Conference on Control, Automation, Robotics and Vision (ICARCV) - 2018 15th International Conference on Control, Automation, Robotics and Vision (ICARCV)";2018;SQ;INTERNACIONAL;;"MENEZES, MATHEUS CHAVES;DE FREITAS, EDISON PIGNATON;CHENG, SEN;Alexandre César Muniz de Oliveira;DE ALMEIDA RIBEIRO, PAULO ROGERIO;";"10.1109/ICARCV.2018.8581270"
33;Alexandre César Muniz de Oliveira;Autonomous Exploration Guided by Optimisation Metaheuristic;TRABALHO-EM-EVENTOS;-;"2018 15th International Conference on Control, Automation, Robotics and Vision (ICARCV) - 2018 15th International Conference on Control, Automation, Robotics and Vision (ICARCV)";2018;SQ;INTERNACIONAL;;"SANTOS, RAPHAEL GOMES;DE FREITAS, EDISON PIGNATON;CHENG, SEN;DE ALMEIDA RIBEIRO, PAULO ROGERIO;Alexandre César Muniz de Oliveira;";"10.1109/ICARCV.2018.8581136"
33;Alexandre César Muniz de Oliveira;Multi-Network-Feedback-Error-Learning with Automatic Insertion: Validation to a Nonlinear System;CAPITULO-DE-LIVRO-PUBLICADO;-;Communications in Computer and Information Science - Springer International Publishing;2017;SQ;;;"Santos, Alex N. V.;Paulo R. de A. Ribeiro;DE ALMEIDA NETO, AREOLINO;Alexandre César Muniz de Oliveira;";"10.1007/978-3-319-71011-2_14"
33;Alexandre César Muniz de Oliveira;Tuning of Clustering Search Based Metaheuristic by Cross-Validated Racing Approach;CAPITULO-DE-LIVRO-PUBLICADO;-;Lecture Notes in Computer Science - Springer International Publishing;2017;SQ;;;"Fonseca, Thiago Henrique Lemos;Alexandre César Muniz de Oliveira;";"10.1007/978-3-319-59153-7_6"
33;Alexandre César Muniz de Oliveira;A New Particle Weighting Strategy for Robot Mapping FastSLAM;TRABALHO-EM-EVENTOS;-;"14th International Conference on Informatics in Control, Automation and Robotics - Proceedings of the 14th International Conference on Informatics in Control, Automation and Robotics";2017;SQ;INTERNACIONAL;;"BARROS DOS SANTOS, SERGIO R.;OLIVEIRA, ALEXANDRE C. M.;BUONOCORE, LUCIANO;Areolino de Almeida Neto;NASCIMENTO JR., CAIRO L.;";"10.5220/0006421903220328"
33;Alexandre César Muniz de Oliveira;Patient-Specific Modeling Algorithm for Medical Data Based on AUC;ARTIGO-PUBLICADO;"13076892";WORD ACADEMY OF SCIENCE, ENGINEERING AND TECHONOLOGY;2016;SQ;COMPLETO;;"RIBEIRO, GUILHERME A.;Alexandre César Muniz de Oliveira;FERREIRA, ANTONIO;VISWESWARAN, SHYAM;COOPER, GREGORY F.;";""
33;Alexandre César Muniz de Oliveira;Assimilação Gaussiana para Clustering Search com Aplicação em Otimização Contínua Irrestrita;TRABALHO-EM-EVENTOS;SBPO;Simpósio Brasileiro de Pesquisa Operacional - Anais do XLVIII SBPO Simpósio Brasileiro de Pesquisa Operacional;2016;A4;NACIONAL;;"André Felipe da Silva Oliveira;Marcelo Branco do Nascimento;Areolino de Almeida Neto;Paulo Rogério de Almeida Ribeiro;Alexandre César Muniz de Oliveira;";""
33;Alexandre César Muniz de Oliveira;Clustering Search with Estimation of Distribution;TRABALHO-EM-EVENTOS;SMC;"2016 IEEE International Conference on Systems, Man, and Cybernetics (SMC) - IEEE International Conference on Systems, Man, and Cybernetics (SMC)";2016;A2;INTERNACIONAL;;"Marcelo B. do Nascimento;Alexandre César Muniz de Oliveira;";""
33;Alexandre César Muniz de Oliveira;On the train timetabling problem and heuristics;TRABALHO-EM-EVENTOS;SBPO;Simpósio Brasileiro de Pesquisa Operacional - Anais do XLVIII SBPO Simpósio Brasileiro de Pesquisa Operacional;2016;A4;NACIONAL;;"Eggo Pinheiro;Enrico Miranda;Alexandre César Muniz de Oliveira;";""
